Customer_id,First_Name,Last_Name,DOB,Gender,City,Join_Date
1,Robert,Mcintosh,05-10-1983,M,Stacymouth,10-01-2021
2,Thomas,Sampson,29-09-1962,M,North Linda,28-02-2017
3,Blake,Brown,04-10-1978,F,East Erinhaven,19-12-2020
4,Paul,Archer,12-11-1969,M,Grayton,13-03-2022
5,James,Anderson,22-12-1965,M,East Daniel,26-06-2024
6,Donald,Bender,07-02-1962,M,Port Debbiechester,07-04-2017
7,Michael,Wagner,08-10-1962,M,East Margaret,28-02-2024
8,Beth,Ferguson,01-07-2004,M,Harperfort,04-01-2023
9,Cynthia,Schultz,24-06-1965,F,West Shane,03-02-2022
10,Kathleen,West,13-08-1976,M,Robertsonfort,10-10-2017
11,Morgan,Santiago,03-07-1989,M,East Peter,11-04-2018
12,Nicholas,Fox,16-03-1994,M,Lake Sarahside,12-05-2023
13,Jeremy,Schmidt,14-12-1956,M,East Jacksonchester,18-04-2016
14,Stephen,Hayes,11-12-1955,M,North Cathy,16-12-2017
15,Timothy,Campos,28-08-1999,M,New Samanthastad,02-01-2021
16,Megan,Swanson,26-10-1998,M,New Michael,18-06-2020
17,James,Cochran,10-01-1978,F,Port Emily,16-06-2025
18,Kayla,Dixon,28-01-2004,M,Sandrafurt,24-05-2025
19,Greg,Poole,30-04-2004,F,Matthewside,23-03-2021
20,Lynn,King,03-12-2005,F,New Timothystad,03-11-2019
21,Douglas,Morris,25-11-1994,M,West Frank,19-09-2025
22,Beth,Day,18-08-2006,M,Choihaven,04-05-2016
23,Brian,Moreno,31-12-1994,F,New Jessicamouth,26-12-2017
24,Austin,Flores,14-05-1979,F,West Calvinberg,30-06-2016
25,Tyrone,Myers,19-08-1971,F,East Patricia,19-03-2022
26,Samantha,Ballard,26-04-1990,M,West Kelly,18-09-2024
27,Sally,Hickman,23-02-1995,M,Adamsport,05-11-2024
28,Patricia,Ellis,13-03-1957,F,Payneview,06-10-2021
29,Lisa,Oliver,10-07-1960,M,Michaelburgh,26-09-2023
30,Kenneth,Case,28-05-1986,M,Port Charlesville,17-02-2022
31,Brian,Simpson,19-02-2005,F,Port Matthewstad,28-04-2022
32,Nicholas,Lamb,13-10-2003,M,South Jimmyland,21-04-2022
33,Todd,Phelps,09-10-1992,F,Colemanburgh,25-12-2017
34,Tyler,Boyd,22-04-1989,F,New Amyport,14-05-2017
35,William,Knight,26-10-1955,F,North Rhondafurt,19-01-2020
36,Gregory,Reyes,01-07-1982,M,Lake Matthew,25-06-2021
37,Tiffany,Thomas,24-09-2004,F,North Martha,28-01-2019
38,Adam,Phillips,16-03-1987,M,Lake Reneestad,28-08-2025
39,Krista,Shea,15-06-1992,F,Courtneyland,24-08-2020
40,Nicholas,Moore,12-08-1955,M,Port David,27-08-2023
41,Richard,Herrera,14-06-2006,F,Holtstad,10-12-2019
42,Wendy,Phillips,23-09-1994,F,New Logan,24-05-2022
43,George,Davis,02-11-1996,M,Briantown,20-02-2017
44,Christina,Rollins,06-03-1973,M,Hallshire,27-06-2022
45,John,Chen,18-06-2003,M,Johnsonchester,01-03-2024
46,Matthew,Hicks,26-06-1971,M,North Amanda,31-03-2017
47,Isaiah,Marshall,16-10-1988,F,Port Tracifurt,26-03-2019
48,Tiffany,Gutierrez,29-07-1979,M,New Tanyaside,01-08-2020
49,Sonia,Gonzales,14-12-2006,M,Bethview,07-07-2024
50,Dalton,Miranda,19-04-1978,M,Kimberlyberg,02-08-2022
51,Susan,Fischer,25-10-1969,F,Josephhaven,11-01-2019
